High,Low,Close,SuperTrend
318.600006,308.700012,318.600006,0
319.559998,313.299988,315.839996,0
316.380005,312.75,316.149994,0
315.660004,308.730011,310.570007,0
310.290009,306.350006,307.779999,0
309.380005,304.920013,305.820007,0
307.48999,305.089996,305.98999,0
308.339996,304.709991,306.390015,0
311.910004,305.459991,311.450012,0
318.910004,310.820007,312.329987,0
316.359985,308.399994,309.290009,0
306.959991,299.450012,301.910004,0
302.470001,297.76001,300,0
301.480011,297.149994,300.029999,284.99
304.190002,297,302,286.76
308.540009,304.160004,307.820007,292.85
306.5,297.640015,302.690002,292.85
306.570007,300.929993,306.48999,292.85
308.579987,304.649994,305.549988,292.85
307.459991,303.26001,303.429993,292.85
309.380005,305.23999,309.059998,292.85
309.040009,305.619995,308.899994,292.9
312.390015,307.380005,309.910004,295.71
316.890015,311.25,314.549988,300.33
314.230011,310,312.899994,300.33
320.160004,313.380005,318.690002,303.83
320.5,314.75,315.529999,304.5
316.799988,313.339996,316.350006,304.5
320.570007,316.600006,320.369995,306.19
321.320007,317.720001,318.929993,307.26
318.420013,315.790009,317.640015,307.26
318.519989,314.25,314.859985,307.26
315.540009,307.75,308.299988,307.26
307.23999,303.859985,305.230011,316.99
310.01001,304.359985,309.869995,316.99
312.730011,306.850006,310.420013,316.99
312.829987,307.5,311.299988,316.99
312.549988,307.709991,311.899994,316.99
313.679993,309.579987,310.950012,316.99
311.730011,308.339996,309.170013,316.99
309.51001,306.809998,307.329987,316.99
311.859985,305.790009,311.519989,316.99
312.670013,306.380005,310.570007,316.99
312.600006,308.299988,311.859985,316.99
311.549988,305.920013,308.51001,316.99
308.799988,305.600006,308.429993,316.99
314.149994,306.630005,312.970001,316.99
313.410004,308.01001,308.480011,316.99
311.420013,306.98999,307.209991,316.99
309.980011,305.279999,309.890015,316.99
313.73999,309.619995,313.73999,316.99
314.100006,309.040009,310.790009,316.99
310.369995,308.279999,309.630005,316.99
310.200012,306.869995,308.179993,316.99
308.410004,305.480011,308.23999,316.99
307.299988,300.5,302.720001,315.65
305.269989,301.769989,303.160004,314.77
305.559998,300.25,303.070007,314.34
305.619995,300.01001,304.019989,314.24
305.779999,302.01001,304.660004,314.24
306.149994,303.410004,305.179993,314.24
305.619995,302.079987,304.619995,314.19
308.100006,301.450012,307.75,314.19
312.660004,308.5,312.450012,314.19
317.290009,312.429993,316.970001,304.08
316.5,310.230011,311.119995,304.08
312.679993,309.25,311.369995,304.08
313.179993,303.940002,304.820007,304.08
306.720001,301.920013,303.630005,316.94
306.589996,300.76001,302.880005,316.12
307.549988,301.679993,305.329987,316.12
300.549988,294.899994,297.880005,310.66
304.429993,295.359985,302.01001,310.66
301.299988,292.420013,293.51001,310.66
301.51001,295.059998,301.059998,310.66
305.630005,302.25,303.850006,310.66
307.049988,299.649994,299.730011,310.66
302.079987,296.299988,298.369995,310.66
299.5,293.390015,298.920013,310.66
303.209991,298.970001,302.140015,310.66
302.720001,300.589996,302.320007,310.66
305.380005,303.359985,305.299988,310.66
307.470001,302.579987,305.079987,310.66
308.809998,304.98999,308.769989,310.66
311.5,308.23999,310.309998,310.66
311,307.070007,309.070007,310.66
311.070007,307.850006,310.390015,310.66
313.220001,309.049988,312.51001,300.28
313.700012,310.329987,312.619995,301.71
315.940002,311.769989,313.700012,303.41
316.920013,313.720001,314.549988,305.62
318.809998,313.26001,318.049988,306.38
321.880005,318.119995,319.73999,310.76
323.980011,319,323.790009,312.12
325.720001,322.5,324.630005,314.55
324.549988,322.76001,323.089996,314.55
324.369995,321.320007,323.820007,314.55
324.850006,321.609985,324.329987,314.55
326.399994,324.299988,326.049988,316.47
327.100006,324.109985,324.339996,316.89
323.73999,319,320.529999,316.89
326.910004,322.109985,326.230011,316.89
328.809998,325.190002,328.549988,317.86
331.839996,328.570007,330.170013,321.22
330.25,322.76001,325.859985,321.22
328.070007,323.059998,323.220001,321.22
325.98999,317.410004,320,330.36
325.160004,322.619995,323.880005,330.36
330.690002,325.790009,326.140015,330.36
326.880005,323.480011,324.869995,330.36
326.160004,320.149994,322.98999,330.36
322.959991,319.809998,322.640015,330.36
324.23999,320.540009,322.48999,330.36
323.829987,320.130005,323.529999,330.36
324.690002,322.359985,323.75,330.36
328.26001,324.820007,327.390015,330.36
329.980011,325.850006,329.76001,330.36
333.940002,329.119995,330.390015,320.24
331.48999,328.350006,329.130005,320.24
329.269989,322.970001,323.109985,320.24
323,319.559998,320.200012,331.1
320.559998,317.709991,319.019989,329.01
